Timestamp,From,To,Original,Translated
2026-02-13 20:54:13,English,Hindi,I am hinal.,मैं हिनाल हूं.
2026-02-13 20:55:12,Gujarati,Hindi,શું છે.,क्या है
2026-02-13 20:59:06,English,Hindi,Hey.,अरे।
2026-02-13 21:06:01,English,Hindi,I am doing a project.,मैं एक प्रोजेक्ट कर रहा हूं.
2026-02-13 21:46:38,English,Hindi,I am working on a project.,मैं एक प्रोजेक्ट पर काम कर रहा हूं.
2026-02-13 21:47:17,Gujarati,Hindi,શું કરો છો.,आप क्या कर रहे हो
2026-02-13 21:47:42,Gujarati,Hindi,પ્રોજેક્ટ પર કામ કરું છું.,एक प्रोजेक्ट पर काम कर रहे हैं.
2026-02-13 21:48:10,Gujarati,Hindi,તમે મારી વાત કેમ નથી સાંભળતા.,तुम मेरी बात क्यों नहीं सुनते?
2026-02-13 22:03:56,English,Hindi,Working on a project.,एक प्रोजेक्ट पर काम कर रहे हैं.
2026-02-13 22:04:52,English,Hindi,Watching a program.,कोई प्रोग्राम देख रहा हूँ.
2026-02-13 22:05:11,English,Hindi,Not listening to you.,आपकी बात नहीं सुन रहा.
2026-02-13 22:05:35,English,Hindi,To do.,करने के लिए।
2026-02-14 09:37:57,English,Hindi,What are you doing?,आप क्या कर रहे हो?
2026-02-14 09:38:30,Punjabi,Gujarati,तो से क्या करें तो से.,तो से करें तो से
2026-02-14 09:39:00,Gujarati,Tamil,"नहीं, नहीं.","இல்லை, இல்லை."
2026-02-14 09:39:31,Hindi,Gujarati,मुझे नहीं पतचोल रहा.,મને વાંધો નથી.
2026-02-14 09:39:54,Hindi,Gujarati,बाग्ड़े ही हे.,તે માત્ર એક કાર્ટ છે.
2026-02-14 11:17:34,English,Hindi,How about you?,आप कैसे हैं?
2026-02-14 11:18:05,English,Hindi,I am working on a project.,मैं एक प्रोजेक्ट पर काम कर रहा हूं.
2026-02-14 11:32:40,English,Hindi,What are you doing? I am working on a project.,आप क्या कर रहे हो? मैं एक प्रोजेक्ट पर काम कर रहा हूं.
2026-02-14 11:33:01,English,Hindi,I want to sing a song and I am singing.,मैं गाना गाना चाहता हूं और गा रहा हूं.
2026-02-14 11:33:38,Gujarati,Hindi,वाचुता मेखू.,वकुटा मेखु.
2026-02-14 11:52:39,Hindi,Gujarati,हु।.,હહ..
2026-02-14 11:53:29,Hindi,Gujarati,जाइपार अच्या.,જયપર આચ્ય.
2026-02-14 20:02:37,English,Hindi,Recognition failed: Install faster-whisper.,पहचान विफल: तेज़-व्हिस्पर स्थापित करें।
2026-02-14 20:02:50,English,Hindi,Recognition failed: Install faster-whisper.,पहचान विफल: तेज़-व्हिस्पर स्थापित करें।
2026-02-14 20:04:27,English,Hindi,Recognition failed: Install faster-whisper.,पहचान विफल: तेज़-व्हिस्पर स्थापित करें।
2026-02-14 20:04:47,English,Hindi,Recognition failed: Install faster-whisper.,पहचान विफल: तेज़-व्हिस्पर स्थापित करें।
2026-02-14 21:58:15,English,Hindi,Recognition failed: Install faster-whisper.,पहचान विफल: तेज़-व्हिस्पर स्थापित करें।
2026-02-15 00:42:18,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-15 00:42:41,English,Hindi,What can I do for my next project.,मैं अपने अगले प्रोजेक्ट के लिए क्या कर सकता हूं.
2026-02-15 00:42:57,English,Gujarati,Hello my name is Khushi and I am from Nadiad.,નમસ્તે મારું નામ ખુશી છે અને હું નડિયાદની છું.
2026-02-15 00:43:20,Gujarati,English,નમસ્તે મારું નામ ખુશી મહેતા છે અને હું નડિયાદથી છું.,Hello my name is Khushi Mehta and I am from Nadiad.
2026-02-15 00:43:31,Gujarati,English,મારે હવે આગળ શું કરવું જોઈએ.,What should I do next now?
2026-02-15 00:43:46,Gujarati,English,કાલે શિવરાત્રી છે તો મારે ઉપવાસ છે.,Tomorrow is Shivratri so I am fasting.
2026-02-15 00:45:35,English,Hindi,Hello my name is Khushi Mehta and I am from Nadiad.,"नमस्कार, मेरा नाम ख़ुशी मेहता है और मैं नडियाद से हूँ।"
2026-02-15 00:45:46,English,Hindi,What can I do next.,अब आगे क्या किया जा सकता है।
2026-02-15 00:46:07,Gujarati,English,મારું નામ ખુશી મહેતા છે અને હું નડિયાદથી છું.,My name is Khushi Mehta and I am from Nadiad.
2026-02-15 00:46:21,Gujarati,English,મારે હવે આગળના પ્રોજેક્ટમાં શું કરવું જોઈએ.,What should I do next in the project?
2026-02-15 00:46:35,Gujarati,English,કાલે મહાશિવરાત્રી છે તો મારે ઉપવાસ છે.,Tomorrow is Mahashivratri so I am fasting.
2026-02-15 00:46:46,Gujarati,English,ધન્યવાદ.,Thank you.
2026-02-15 11:30:12,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-15 17:36:37,Gujarati,Marathi,ચલો 5:00 તમે નવા જાઓ!,चला 5:00 आपण नवीन!
2026-02-15 17:38:26,Gujarati,Marathi,જલ્દી નાહવા જાઓ 5:00 વાગ્યે ગયા છે.,"जा लवकर अंघोळ कर, ५:०० वाजले."
2026-02-15 17:38:51,Gujarati,Marathi,મને બહુ ભૂખ લાગી છે.,मला खूप भूक लागली आहे.
2026-02-15 17:39:15,Gujarati,Marathi,તમે બધા શું કરો છો.,तुम्ही सर्व काय करत आहात
2026-02-15 17:39:36,Gujarati,Marathi,તમે શું કરો છો!,काय करत आहात!
2026-02-15 17:40:14,Marathi,English,काय करताय तुम्ही भाऊ.,what are you doing bro
2026-02-15 17:40:52,Marathi,English,किती आवाज करता तुम्ही.,How much noise do you make?
2026-02-15 17:43:28,English,Hindi,Maru Naam Khushi Mehta Che.,मारु नाम खुशी मेहता चे।
2026-02-15 17:43:47,English,Hindi,My name is Khushi Mehta.,मेरा नाम ख़ुशी मेहता है.
2026-02-15 22:16:19,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-15 22:16:34,English,Hindi,Maru Naam Khushi Mehta 6.,Maru Naam Khushi Mehta 6.
2026-02-15 23:11:42,English,Hindi,Hello Maro Naam Khushi Mehta.,Hello Maro Naam Khushi Mehta.
2026-02-15 23:15:47,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-15 23:16:25,English,Hindi,I am from Nadiad.,मैं नडियाद से हूं.
2026-02-15 23:16:41,English,Hindi,Hello my name is Khushi Mehta and I am from Nadiad.,"नमस्कार, मेरा नाम ख़ुशी मेहता है और मैं नडियाद से हूँ।"
2026-02-15 23:21:54,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-16 18:38:53,English,Hindi,Maru Naam Khushi Mehta Che!,मारु नाम ख़ुशी मेहता छे!
2026-02-16 18:39:11,English,Hindi,My name is Khushi Mehta!,मेरा नाम ख़ुशी मेहता है!
2026-02-16 18:39:21,English,Tamil,My name is Khushi Mehta!,என் பெயர் குஷி மேத்தா!
2026-02-16 18:39:35,English,Bengali,My name is Khushi Mehta!,আমার নাম খুশি মেহতা!
2026-02-16 18:55:05,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-16 19:01:03,English,Hindi,My name is Khushi Mehta.,मेरा नाम ख़ुशी मेहता है.
2026-02-16 19:04:48,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-16 19:41:09,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-16 19:57:56,English,Hindi,Maru Naam Khushi Mehta acche.,Maru Naam Khushi Mehta acche.
2026-02-16 20:08:55,Hindi,Hindi,मारु नाम खुशी मेहता अच्छे!,मारु नाम खुशी मेहता अच्छे!
2026-02-16 20:09:10,Hindi,Hindi,मन बहुभुज भूख लगी है!,मन बहुभुज भूख लगी है!
2026-02-16 20:09:31,Hindi,Hindi,मारु नाम खुशी छे!,मारु नाम खुशी छे!
2026-02-16 20:28:17,Gujarati,Hindi,મારું નામ ખુશી મહેતા છે!,मेरा नाम ख़ुशी मेहता है!
2026-02-16 20:28:31,Gujarati,Hindi,માય નેમ ઇસ ખુશી મહેતા!,मेरा नाम ख़ुशी मेहता है!
2026-02-16 20:28:59,Gujarati,Hindi,મને બહુ ભૂખ લાગી છે!,मुझे बहुत भूख लगी है!
2026-02-16 20:29:18,Gujarati,English,મને કંઈ ખબર નથી પડતી શું કરું!,I don't know what to do!
2026-02-16 20:29:40,Gujarati,Punjabi,તમારું નામ શું છે!,ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ!
2026-02-16 20:30:10,Gujarati,Punjabi,આપ ક્યા ખાના પસંદ કરેંગે.,ਤੁਸੀਂ ਕਿਹੜਾ ਭੋਜਨ ਪਸੰਦ ਕਰੋਗੇ?
2026-02-17 11:09:14,Gujarati,Hindi,તમે શું કરો છો.,आप क्या कर रहे हो
2026-02-17 11:09:56,Gujarati,Marathi,તમે શું કરો છો તમારું નામ શું છે.,तू काय करतोस तुझे नाव काय आहे
2026-02-17 11:10:17,Gujarati,Marathi,મેરા નામ ખુશી હૈ ઔર નડિયાદ સે હું.,मेरा नाम खुशी है और नाडियाद से हूं.
2026-02-17 12:03:56,Hindi,Hindi,मारु नाम खुशी मेहता छे!,मारु नाम खुशी मेहता छे!
2026-02-17 12:19:09,Hindi,Hindi,मारु नाम खुशी मेहता छे.,मारु नाम खुशी मेहता छे.
2026-02-17 19:05:42,Hindi,Hindi,हेलो माय नेम इस खुशी मेहता.,हेलो माय नेम इस खुशी मेहता.
2026-02-17 19:13:31,Hindi,Hindi,हेलो माय नेम इस खुशी मेहता.,हेलो माय नेम इस खुशी मेहता.
2026-02-17 19:13:57,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-02-17 19:14:11,English,Punjabi,I am from Nadiad.,ਮੈਂ ਨਦੀਆਦ ਤੋਂ ਹਾਂ।
2026-02-17 19:14:27,Marathi,Punjabi,काय करताय तुम्ही भाऊ.,ਤੁਸੀਂ ਕੀ ਕਰ ਰਹੇ ਹੋ ਭਰਾ
2026-02-17 19:14:43,Marathi,Tamil,अजिबात नाही नाही.,முற்றிலும் இல்லை.
2026-02-17 19:14:55,Marathi,Tamil,नाही नाही.,இல்லை இல்லை
2026-02-17 19:15:19,Marathi,Tamil,नाही नाही नाही नाही नाही.,இல்லை இல்லை இல்லை இல்லை.
2026-02-17 19:15:46,Tamil,Marathi,இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை.,नाही नाही नाही नाही नाही नाही नाही.
2026-02-17 19:16:01,Tamil,Telugu,இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை.,కాదు కాదు కాదు కాదు.
2026-02-17 19:16:17,Tamil,Hindi,இல்லை இல்லை இல்லை இல்லை.,"नहीं, नहीं, नहीं."
2026-02-17 19:16:30,Tamil,Gujarati,இல்ல இல்ல இல்ல இல்ல இல்ல இல்ல இல்ல இல்ல.,ના ના ના ના ના ના ના ના ના
2026-02-17 19:17:11,Tamil,Marathi,இல்ல இல்ல.,नाही नाही
2026-02-17 19:17:27,Tamil,Telugu,இல்ல இல்ல இல்ல.,కాదు కాదు కాదు.
2026-02-17 19:17:40,Tamil,Bengali,இல்ல இல்ல இல்ல இல்ல.,না না না না না।
2026-02-17 19:18:01,Tamil,Spanish,இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை.,"No, no, no, no, no, no, no, no, no."
2026-02-17 19:18:42,Tamil,French,இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை.,Non non non non non non non non.
2026-02-17 19:19:03,Tamil,German,இல்லை இல்லை இல்லை இல்லை.,Nein nein nein nein.
2026-02-17 19:19:23,Tamil,Japanese,இல்ல இல்ல இல்ல இல்ல.,いやいやいや。
2026-02-17 19:19:45,Tamil,Chinese,இல்லை இல்லை இல்லை இல்லை.,不不不不。
